user_id,signup_date,city,device_type,channel,age_bucket
U000051,2024-05-17,Mumbai,android,referral,45+
U000052,2024-02-01,Hyderabad,android,referral,35-44
U000053,2024-04-06,Mumbai,android,paid_google,35-44
U000054,2024-01-21,Pune,ios,paid_google,18-24
U000055,2024-05-21,Hyderabad,ios,organic,35-44
U000056,2024-03-16,Chennai,ios,social,25-34
U000057,2024-06-09,Bangalore,ios,referral,35-44
U000058,2024-06-07,Mumbai,ios,organic,25-34
U000059,2024-04-02,Bangalore,android,email,25-34
U000060,2024-05-27,Mumbai,android,referral,25-34
U000061,2024-02-19,Mumbai,web,organic,25-34
U000062,2024-06-29,Delhi,android,organic,18-24
U000063,2024-01-18,Chennai,android,organic,18-24
U000064,2024-01-12,Delhi,android,organic,18-24
U000065,2024-06-18,Pune,ios,organic,35-44
U000066,2024-02-28,Delhi,android,referral,25-34
U000067,2024-03-15,Jaipur,android,referral,18-24
U000068,2024-01-21,Jaipur,ios,organic,18-24
U000069,2024-02-29,Mumbai,web,email,25-34
U000070,2024-01-26,Jaipur,android,organic,25-34
U000071,2024-04-07,Pune,android,referral,25-34
U000072,2024-03-12,Delhi,web,paid_google,35-44
U000073,2024-04-26,Kolkata,android,paid_google,45+
U000074,2024-06-11,Delhi,android,referral,25-34
U000075,2024-04-03,Delhi,android,paid_google,45+
U000076,2024-02-11,Bangalore,android,email,25-34
U000077,2024-04-04,Delhi,android,referral,25-34
U000078,2024-03-31,Delhi,ios,paid_google,18-24
U000079,2024-02-23,Kolkata,ios,social,18-24
U000080,2024-06-20,Jaipur,ios,social,18-24
U000081,2024-03-09,Chennai,android,social,25-34
U000082,2024-06-28,Bangalore,web,referral,25-34
U000083,2024-06-23,Kolkata,android,organic,25-34
U000084,2024-06-14,Delhi,android,email,25-34
U000085,2024-01-19,Kolkata,android,social,25-34
U000086,2024-06-04,Mumbai,ios,email,35-44
U000087,2024-06-11,Pune,ios,organic,25-34
U000088,2024-02-13,Hyderabad,ios,email,25-34
U000089,2024-05-16,Jaipur,web,email,18-24
U000090,2024-03-03,Pune,android,paid_google,35-44
U000091,2024-02-11,Pune,android,organic,18-24
U000092,2024-04-28,Hyderabad,web,referral,25-34
U000093,2024-04-07,Pune,android,referral,18-24
U000094,2024-03-10,Chennai,android,paid_google,25-34
U000095,2024-06-12,Delhi,android,paid_google,25-34
U000096,2024-06-25,Hyderabad,ios,organic,35-44
U000097,2024-05-22,Delhi,ios,referral,25-34
U000098,2024-02-26,Pune,web,paid_google,35-44
U000099,2024-06-24,Delhi,android,organic,35-44
U000100,2024-03-24,Jaipur,android,organic,35-44
U000101,2024-01-15,Mumbai,web,social,35-44
U000102,2024-02-28,Delhi,android,social,18-24
U000103,2024-01-09,Kolkata,ios,social,35-44
U000104,2024-03-21,Delhi,android,organic,18-24
U000105,2024-04-12,Bangalore,ios,organic,45+
U000106,2024-03-09,Chennai,web,organic,18-24
U000107,2024-01-17,Mumbai,android,email,35-44
U000108,2024-02-24,Bangalore,android,organic,35-44
U000109,2024-05-25,Hyderabad,web,email,25-34
U000110,2024-03-21,Kolkata,ios,referral,45+
U000111,2024-02-24,Delhi,android,organic,18-24
U000112,2024-06-16,Delhi,android,paid_google,18-24
U000113,2024-05-07,Bangalore,android,social,18-24
U000114,2024-04-11,Mumbai,ios,organic,18-24
U000115,2024-06-13,Mumbai,android,referral,18-24
U000116,2024-04-27,Mumbai,ios,paid_google,35-44
U000117,2024-02-06,Bangalore,android,organic,35-44
U000118,2024-03-08,Pune,android,paid_google,25-34
U000119,2024-02-05,Delhi,ios,social,25-34
U000120,2024-03-04,Delhi,android,social,25-34
U000121,2024-05-23,Hyderabad,android,organic,25-34
U000122,2024-05-17,Delhi,ios,paid_google,18-24
U000123,2024-03-08,Hyderabad,android,paid_google,25-34
U000124,2024-05-29,Mumbai,ios,social,35-44
U000125,2024-04-19,Mumbai,ios,paid_google,18-24
U000126,2024-05-29,Mumbai,android,paid_google,18-24
U000127,2024-04-12,Mumbai,android,social,25-34
U000128,2024-04-02,Pune,android,social,35-44
U000129,2024-02-26,Kolkata,ios,paid_google,25-34
U000130,2024-02-05,Bangalore,ios,email,35-44
U000131,2024-05-10,Bangalore,ios,paid_google,45+
U000132,2024-05-06,Delhi,ios,organic,25-34
U000133,2024-01-24,Hyderabad,android,paid_google,25-34
U000134,2024-01-13,Bangalore,android,paid_google,45+
U000135,2024-01-29,Delhi,ios,social,25-34
U000136,2024-02-09,Delhi,ios,referral,18-24
U000137,2024-06-09,Delhi,android,organic,25-34
U000138,2024-02-10,Delhi,web,paid_google,25-34
U000139,2024-06-23,Hyderabad,ios,organic,18-24
U000140,2024-04-18,Kolkata,ios,social,25-34
U000141,2024-06-01,Chennai,android,organic,45+
U000142,2024-01-17,Bangalore,android,organic,35-44
U000143,2024-04-08,Mumbai,web,social,18-24
U000144,2024-04-07,Mumbai,android,organic,18-24
U000145,2024-06-01,Hyderabad,ios,referral,25-34
U000146,2024-04-29,Mumbai,web,referral,35-44
U000147,2024-05-15,Mumbai,android,paid_google,35-44
U000148,2024-03-05,Hyderabad,ios,organic,18-24
U000149,2024-05-21,Mumbai,android,paid_google,25-34
U000150,2024-01-03,Delhi,ios,organic,25-34
U000151,2024-06-23,Delhi,android,organic,25-34
U000152,2024-01-30,Mumbai,ios,paid_google,18-24
U000153,2024-06-23,Bangalore,android,email,25-34
U000154,2024-05-17,Mumbai,android,paid_google,25-34
U000155,2024-03-09,Delhi,android,referral,35-44
U000156,2024-06-13,Mumbai,android,email,25-34
U000157,2024-03-28,Delhi,ios,paid_google,18-24
U000158,2024-01-29,Kolkata,ios,referral,18-24
U000159,2024-03-16,Mumbai,ios,organic,18-24
U000160,2024-04-21,Delhi,ios,organic,18-24
U000161,2024-02-10,Hyderabad,web,referral,18-24
U000162,2024-04-26,Mumbai,ios,organic,25-34
U000163,2024-01-01,Bangalore,android,organic,18-24
U000164,2024-03-08,Delhi,android,organic,18-24
U000165,2024-05-08,Jaipur,android,organic,25-34
U000166,2024-02-15,Jaipur,android,organic,25-34
U000167,2024-05-09,Hyderabad,android,organic,35-44
U000168,2024-01-28,Hyderabad,android,referral,45+
U000169,2024-06-09,Bangalore,ios,paid_google,25-34
U000170,2024-03-17,Jaipur,ios,referral,25-34
U000171,2024-06-12,Bangalore,android,social,25-34
U000172,2024-05-09,Mumbai,ios,paid_google,25-34
U000173,2024-06-04,Delhi,android,social,45+
U000174,2024-02-20,Delhi,ios,social,35-44
U000175,2024-02-09,Bangalore,android,paid_google,35-44
U000176,2024-04-05,Mumbai,android,social,25-34
U000177,2024-02-11,Hyderabad,android,paid_google,18-24
U000178,2024-05-18,Mumbai,android,referral,35-44
U000179,2024-05-15,Pune,android,email,35-44
U000180,2024-01-01,Bangalore,ios,paid_google,35-44
U000181,2024-06-02,Hyderabad,android,referral,25-34
U000182,2024-03-23,Bangalore,web,paid_google,25-34
U000183,2024-05-05,Pune,ios,paid_google,25-34
U000184,2024-01-05,Delhi,android,organic,18-24
U000185,2024-01-29,Delhi,ios,paid_google,18-24
U000186,2024-04-02,Hyderabad,ios,referral,35-44
U000187,2024-03-19,Chennai,ios,paid_google,35-44
U000188,2024-03-02,Bangalore,ios,organic,18-24
U000189,2024-01-15,Mumbai,web,paid_google,18-24
U000190,2024-03-02,Mumbai,ios,paid_google,18-24
U000191,2024-05-25,Mumbai,web,organic,25-34
U000192,2024-01-21,Kolkata,ios,email,18-24
U000193,2024-01-22,Mumbai,ios,email,25-34
U000194,2024-05-04,Hyderabad,android,organic,25-34
U000195,2024-01-18,Chennai,android,referral,18-24
U000196,2024-05-16,Delhi,ios,paid_google,35-44
U000197,2024-02-02,Delhi,web,referral,18-24
U000198,2024-02-02,Mumbai,android,organic,25-34
U000199,2024-06-17,Hyderabad,ios,organic,35-44
U000200,2024-05-01,Mumbai,ios,organic,35-44
U000201,2024-05-20,Delhi,android,paid_google,35-44
U000202,2024-02-12,Mumbai,ios,organic,25-34
U000203,2024-03-08,Delhi,web,paid_google,18-24
U000204,2024-05-15,Delhi,ios,email,25-34
U000205,2024-06-04,Mumbai,android,organic,18-24
U000206,2024-04-18,Delhi,web,social,25-34
U000207,2024-02-24,Hyderabad,android,paid_google,18-24
U000208,2024-05-18,Mumbai,android,organic,25-34
U000209,2024-06-25,Hyderabad,android,organic,18-24
U000210,2024-02-21,Bangalore,android,email,18-24
U000211,2024-03-20,Pune,ios,paid_google,25-34
U000212,2024-04-12,Delhi,android,organic,18-24
U000213,2024-06-20,Delhi,android,referral,25-34
U000214,2024-06-15,Pune,android,organic,25-34
U000215,2024-04-05,Pune,android,social,35-44
U000216,2024-04-22,Delhi,web,paid_google,25-34
U000217,2024-05-12,Delhi,ios,referral,45+
U000218,2024-04-25,Pune,ios,social,35-44
U000219,2024-01-31,Delhi,android,email,25-34
U000220,2024-03-04,Pune,android,email,18-24
U000221,2024-02-27,Jaipur,ios,organic,25-34
U000222,2024-01-17,Mumbai,web,paid_google,25-34
U000223,2024-03-27,Pune,android,referral,18-24
U000224,2024-01-06,Bangalore,android,organic,35-44
U000225,2024-05-30,Chennai,android,paid_google,18-24
U000226,2024-05-21,Mumbai,ios,email,18-24
U000227,2024-02-28,Delhi,android,organic,25-34
U000228,2024-05-30,Hyderabad,ios,paid_google,18-24
U000229,2024-02-26,Delhi,android,organic,35-44
U000230,2024-01-02,Kolkata,ios,referral,45+
U000231,2024-01-19,Mumbai,android,referral,18-24
U000232,2024-06-30,Delhi,android,social,45+
U000233,2024-06-10,Mumbai,android,social,35-44
U000234,2024-01-16,Pune,android,organic,25-34
U000235,2024-02-28,Mumbai,ios,social,25-34
U000236,2024-01-18,Pune,android,email,25-34
U000237,2024-01-09,Delhi,web,social,25-34
U000238,2024-03-25,Bangalore,web,social,25-34
U000239,2024-01-19,Pune,ios,referral,35-44
U000240,2024-05-11,Delhi,web,referral,25-34
U000241,2024-03-01,Mumbai,ios,social,18-24
U000242,2024-03-12,Kolkata,ios,organic,18-24
U000243,2024-06-20,Bangalore,ios,email,18-24
U000244,2024-05-04,Hyderabad,android,organic,25-34
U000245,2024-02-24,Pune,ios,paid_google,25-34
U000246,2024-05-18,Bangalore,android,paid_google,25-34
U000247,2024-02-03,Pune,ios,social,18-24
U000248,2024-05-26,Hyderabad,ios,paid_google,25-34
U000249,2024-05-27,Hyderabad,android,paid_google,25-34
U000250,2024-05-01,Delhi,ios,paid_google,18-24
U000251,2024-03-03,Kolkata,ios,social,25-34
U000252,2024-05-01,Chennai,android,social,25-34
U000253,2024-04-14,Mumbai,android,paid_google,18-24
U000254,2024-02-18,Bangalore,android,paid_google,35-44
U000255,2024-01-25,Mumbai,ios,organic,18-24
U000256,2024-01-25,Hyderabad,android,paid_google,18-24
U000257,2024-06-17,Jaipur,android,paid_google,18-24
U000258,2024-04-20,Delhi,android,paid_google,35-44
U000259,2024-03-31,Kolkata,ios,organic,18-24
U000260,2024-04-18,Delhi,ios,referral,25-34
U000261,2024-04-15,Bangalore,ios,paid_google,35-44
U000262,2024-04-29,Bangalore,ios,email,25-34
U000263,2024-01-14,Mumbai,ios,paid_google,25-34
U000264,2024-06-21,Bangalore,android,social,25-34
U000265,2024-06-16,Pune,android,referral,18-24
U000266,2024-06-14,Mumbai,android,social,25-34
U000267,2024-01-26,Delhi,android,social,35-44
U000268,2024-01-16,Hyderabad,android,social,35-44
U000269,2024-04-13,Chennai,ios,email,18-24
U000270,2024-03-27,Kolkata,ios,organic,25-34
U000271,2024-01-28,Delhi,android,organic,18-24
U000272,2024-03-04,Kolkata,android,organic,25-34
U000273,2024-02-19,Bangalore,android,social,25-34
U000274,2024-02-18,Mumbai,android,referral,25-34
U000275,2024-05-17,Jaipur,android,email,25-34
U000276,2024-04-24,Mumbai,android,referral,25-34
U000277,2024-02-05,Chennai,android,organic,25-34
U000278,2024-04-18,Chennai,android,organic,18-24
U000279,2024-02-16,Bangalore,ios,organic,25-34
U000280,2024-03-12,Hyderabad,android,organic,18-24
U000281,2024-04-28,Bangalore,android,organic,35-44
U000282,2024-03-04,Delhi,android,referral,18-24
U000283,2024-01-20,Chennai,android,social,25-34
U000284,2024-04-23,Kolkata,ios,referral,45+
U000285,2024-05-20,Bangalore,android,organic,25-34
U000286,2024-01-26,Jaipur,android,paid_google,35-44
U000287,2024-01-13,Bangalore,ios,organic,35-44
U000288,2024-06-15,Bangalore,android,referral,18-24
U000289,2024-05-18,Hyderabad,android,referral,25-34
U000290,2024-01-04,Delhi,ios,paid_google,18-24
U000291,2024-01-24,Kolkata,web,organic,25-34
U000292,2024-03-01,Chennai,android,referral,18-24
U000293,2024-02-12,Pune,android,organic,25-34
U000294,2024-04-14,Hyderabad,android,email,35-44
U000295,2024-05-04,Pune,android,paid_google,18-24
U000296,2024-05-03,Hyderabad,android,organic,18-24
U000297,2024-02-24,Bangalore,ios,paid_google,35-44
U000298,2024-04-12,Kolkata,android,paid_google,18-24
U000299,2024-01-16,Bangalore,android,paid_google,25-34
U000300,2024-02-12,Bangalore,ios,organic,18-24
U000301,2024-04-07,Delhi,android,referral,18-24
U000302,2024-01-01,Kolkata,ios,organic,18-24
U000303,2024-04-09,Mumbai,ios,organic,25-34
U000304,2024-03-08,Delhi,android,email,45+
U000305,2024-04-26,Delhi,ios,organic,25-34
U000306,2024-03-14,Bangalore,ios,organic,25-34
U000307,2024-04-18,Mumbai,ios,organic,25-34
U000308,2024-06-27,Chennai,ios,organic,45+
U000309,2024-05-22,Mumbai,ios,organic,18-24
U000310,2024-06-18,Chennai,ios,organic,18-24
U000311,2024-05-04,Delhi,android,social,18-24
U000312,2024-02-09,Mumbai,ios,referral,18-24
U000313,2024-02-18,Chennai,web,organic,18-24
U000314,2024-03-16,Mumbai,ios,organic,18-24
U000315,2024-02-25,Delhi,ios,social,18-24
U000316,2024-01-15,Jaipur,ios,paid_google,18-24
U000317,2024-05-28,Delhi,android,organic,18-24
U000318,2024-05-18,Delhi,android,social,18-24
U000319,2024-01-16,Mumbai,ios,referral,18-24
U000320,2024-03-21,Delhi,web,referral,45+
U000321,2024-01-15,Delhi,ios,organic,45+
U000322,2024-01-13,Pune,android,social,25-34
U000323,2024-05-29,Delhi,android,paid_google,18-24
U000324,2024-05-02,Delhi,ios,organic,25-34
U000325,2024-05-08,Pune,ios,paid_google,35-44
U000326,2024-05-15,Bangalore,web,organic,18-24
U000327,2024-02-10,Delhi,android,social,25-34
U000328,2024-01-15,Bangalore,ios,paid_google,18-24
U000329,2024-05-10,Delhi,android,referral,25-34
U000330,2024-01-21,Bangalore,android,organic,25-34
U000331,2024-02-17,Bangalore,android,paid_google,25-34
U000332,2024-01-18,Kolkata,ios,referral,35-44
U000333,2024-06-01,Mumbai,android,organic,25-34
U000334,2024-01-18,Chennai,android,referral,25-34
U000335,2024-06-21,Delhi,android,organic,25-34
U000336,2024-03-01,Bangalore,ios,organic,25-34
U000337,2024-04-13,Mumbai,android,organic,18-24
U000338,2024-01-31,Bangalore,android,organic,18-24
U000339,2024-05-25,Mumbai,android,referral,25-34
U000340,2024-03-04,Jaipur,ios,organic,18-24
U000341,2024-05-28,Kolkata,web,organic,18-24
U000342,2024-06-01,Bangalore,ios,email,35-44
U000343,2024-01-11,Delhi,web,paid_google,45+
U000344,2024-06-07,Bangalore,ios,paid_google,25-34
U000345,2024-01-21,Chennai,android,social,18-24
U000346,2024-04-17,Delhi,ios,referral,35-44
U000347,2024-06-17,Bangalore,android,organic,25-34
U000348,2024-05-29,Delhi,android,organic,35-44
U000349,2024-05-24,Mumbai,android,paid_google,25-34
U000350,2024-05-13,Delhi,ios,paid_google,25-34
U000351,2024-03-21,Jaipur,ios,organic,35-44
U000352,2024-03-07,Delhi,android,organic,25-34
U000353,2024-02-22,Delhi,ios,social,45+
U000354,2024-06-20,Jaipur,android,paid_google,18-24
U000355,2024-03-21,Bangalore,web,social,45+
U000356,2024-03-02,Chennai,web,referral,18-24
U000357,2024-03-08,Mumbai,ios,paid_google,35-44
U000358,2024-04-11,Bangalore,ios,social,25-34
U000359,2024-02-03,Delhi,web,referral,18-24
U000360,2024-06-20,Mumbai,android,organic,18-24
U000361,2024-06-14,Bangalore,ios,organic,25-34
U000362,2024-03-17,Bangalore,android,organic,25-34
U000363,2024-04-27,Mumbai,android,organic,25-34
U000364,2024-03-21,Chennai,android,referral,25-34
U000365,2024-01-19,Bangalore,ios,referral,18-24
U000366,2024-01-03,Hyderabad,android,social,35-44
U000367,2024-04-27,Delhi,ios,paid_google,18-24
U000368,2024-06-08,Pune,android,paid_google,25-34
U000369,2024-05-24,Mumbai,android,referral,35-44
U000370,2024-01-26,Bangalore,ios,social,45+
U000371,2024-01-19,Mumbai,android,social,18-24
U000372,2024-05-17,Pune,ios,paid_google,18-24
U000373,2024-02-24,Kolkata,android,organic,18-24
U000374,2024-05-09,Mumbai,android,organic,25-34
U000375,2024-03-08,Chennai,ios,paid_google,25-34
U000376,2024-02-03,Delhi,android,paid_google,25-34
U000377,2024-03-30,Delhi,ios,email,45+
U000378,2024-01-18,Pune,android,email,25-34
U000379,2024-03-03,Delhi,ios,organic,35-44
U000380,2024-04-04,Delhi,android,email,45+
U000381,2024-03-13,Hyderabad,android,paid_google,25-34
U000382,2024-02-10,Chennai,web,referral,35-44
U000383,2024-04-22,Delhi,android,organic,35-44
U000384,2024-05-19,Delhi,ios,social,45+
U000385,2024-06-29,Delhi,android,organic,25-34
U000386,2024-03-18,Delhi,ios,referral,18-24
U000387,2024-06-05,Delhi,android,social,18-24
U000388,2024-06-16,Kolkata,ios,organic,35-44
U000389,2024-05-15,Delhi,android,referral,35-44
U000390,2024-01-03,Bangalore,android,referral,25-34
U000391,2024-06-19,Kolkata,android,social,18-24
U000392,2024-05-21,Hyderabad,android,referral,25-34
U000393,2024-03-17,Delhi,android,organic,25-34
U000394,2024-06-18,Bangalore,android,paid_google,18-24
U000395,2024-01-27,Kolkata,android,social,25-34
U000396,2024-02-04,Mumbai,ios,referral,18-24
U000397,2024-03-08,Mumbai,android,organic,18-24
U000398,2024-01-30,Mumbai,android,organic,18-24
U000399,2024-01-28,Bangalore,ios,paid_google,18-24
U000400,2024-05-21,Mumbai,android,paid_google,18-24
U000401,2024-02-09,Chennai,android,paid_google,18-24
U000402,2024-03-10,Hyderabad,ios,organic,25-34
U000403,2024-03-13,Mumbai,ios,referral,18-24
U000404,2024-06-03,Chennai,ios,social,18-24
U000405,2024-02-23,Delhi,android,referral,18-24
U000406,2024-03-28,Chennai,android,organic,25-34
U000407,2024-02-22,Hyderabad,web,organic,45+
U000408,2024-06-24,Hyderabad,ios,referral,18-24
U000409,2024-06-11,Delhi,web,email,35-44
U000410,2024-03-08,Hyderabad,android,organic,35-44
U000411,2024-05-09,Bangalore,ios,referral,25-34
U000412,2024-05-05,Bangalore,android,paid_google,45+
U000413,2024-03-05,Mumbai,ios,social,18-24
U000414,2024-01-14,Delhi,android,organic,18-24
U000415,2024-01-24,Bangalore,android,paid_google,35-44
U000416,2024-06-11,Mumbai,web,organic,18-24
U000417,2024-04-18,Bangalore,android,organic,35-44
U000418,2024-03-11,Hyderabad,ios,referral,35-44
U000419,2024-01-12,Mumbai,android,organic,18-24
U000420,2024-01-01,Mumbai,android,paid_google,35-44
U000421,2024-03-26,Bangalore,android,social,25-34
U000422,2024-02-03,Bangalore,android,social,18-24
U000423,2024-06-12,Bangalore,ios,referral,18-24
U000424,2024-03-08,Pune,android,paid_google,35-44
U000425,2024-02-11,Chennai,android,referral,25-34
U000426,2024-04-23,Delhi,ios,organic,35-44
U000427,2024-05-21,Bangalore,android,referral,25-34
U000428,2024-06-29,Mumbai,android,organic,25-34
U000429,2024-04-19,Mumbai,ios,organic,25-34
U000430,2024-05-23,Kolkata,android,referral,35-44
U000431,2024-01-03,Bangalore,ios,social,25-34
U000432,2024-01-29,Hyderabad,android,social,35-44
U000433,2024-01-20,Jaipur,web,organic,35-44
U000434,2024-06-25,Delhi,web,organic,18-24
U000435,2024-02-08,Delhi,ios,email,25-34
U000436,2024-05-19,Mumbai,android,paid_google,18-24
U000437,2024-01-10,Delhi,ios,referral,35-44
U000438,2024-04-04,Delhi,ios,paid_google,25-34
U000439,2024-05-29,Jaipur,android,organic,35-44
U000440,2024-05-21,Jaipur,android,email,18-24
U000441,2024-02-07,Hyderabad,android,organic,35-44
U000442,2024-04-20,Chennai,ios,referral,35-44
U000443,2024-02-02,Delhi,android,paid_google,18-24
U000444,2024-01-11,Bangalore,ios,email,35-44
U000445,2024-03-19,Delhi,android,social,25-34
U000446,2024-04-03,Mumbai,android,organic,18-24
U000447,2024-01-11,Mumbai,ios,paid_google,35-44
U000448,2024-04-01,Hyderabad,android,paid_google,35-44
U000449,2024-02-23,Delhi,ios,organic,18-24
U000450,2024-06-23,Delhi,web,paid_google,45+
U000451,2024-03-04,Hyderabad,ios,referral,25-34
U000452,2024-06-19,Hyderabad,android,organic,25-34
U000453,2024-01-27,Mumbai,web,paid_google,25-34
U000454,2024-03-31,Delhi,android,referral,25-34
U000455,2024-05-23,Pune,android,organic,25-34
U000456,2024-04-14,Delhi,android,organic,35-44
U000457,2024-06-07,Hyderabad,android,organic,25-34
U000458,2024-02-09,Delhi,android,social,25-34
U000459,2024-03-01,Hyderabad,ios,social,25-34
U000460,2024-02-11,Hyderabad,android,referral,25-34
U000461,2024-02-15,Chennai,android,social,25-34
U000462,2024-04-15,Mumbai,ios,organic,18-24
U000463,2024-01-07,Delhi,android,referral,35-44
U000464,2024-02-15,Chennai,ios,paid_google,25-34
U000465,2024-03-26,Bangalore,ios,paid_google,25-34
U000466,2024-04-15,Pune,android,paid_google,25-34
U000467,2024-06-20,Chennai,ios,paid_google,45+
U000468,2024-03-04,Bangalore,android,paid_google,25-34
U000469,2024-03-09,Jaipur,ios,organic,18-24
U000470,2024-02-10,Bangalore,android,referral,25-34
U000471,2024-06-28,Hyderabad,android,organic,35-44
U000472,2024-01-28,Hyderabad,ios,organic,18-24
U000473,2024-04-07,Bangalore,android,social,25-34
U000474,2024-01-10,Bangalore,ios,organic,18-24
U000475,2024-04-30,Chennai,ios,email,25-34
U000476,2024-02-26,Bangalore,android,social,35-44
U000477,2024-02-21,Bangalore,android,paid_google,35-44
U000478,2024-04-27,Hyderabad,android,social,18-24
U000479,2024-03-30,Delhi,android,organic,18-24
U000480,2024-03-19,Delhi,ios,organic,18-24
U000481,2024-02-28,Delhi,android,social,18-24
U000482,2024-02-27,Bangalore,android,social,25-34
U000483,2024-01-07,Pune,web,referral,18-24
U000484,2024-06-17,Hyderabad,android,social,25-34
U000485,2024-02-19,Jaipur,web,referral,25-34
U000486,2024-04-12,Delhi,ios,organic,25-34
U000487,2024-03-25,Chennai,web,social,25-34
U000488,2024-03-12,Mumbai,ios,organic,35-44
U000489,2024-01-18,Delhi,web,organic,45+
U000490,2024-03-12,Pune,android,social,35-44
U000491,2024-03-30,Delhi,ios,organic,35-44
U000492,2024-06-13,Delhi,android,paid_google,18-24
U000493,2024-05-10,Mumbai,web,organic,25-34
U000494,2024-04-12,Chennai,android,paid_google,18-24
U000495,2024-06-22,Hyderabad,ios,paid_google,35-44
U000496,2024-05-17,Mumbai,android,organic,25-34
U000497,2024-03-25,Delhi,ios,social,18-24
U000498,2024-01-08,Delhi,android,organic,18-24
U000499,2024-01-30,Delhi,web,paid_google,18-24
U000500,2024-03-07,Pune,ios,organic,18-24
U000501,2024-02-15,Kolkata,web,organic,25-34
U000502,2024-05-28,Jaipur,android,referral,18-24
U000503,2024-03-08,Pune,android,paid_google,25-34
U000504,2024-01-10,Pune,android,paid_google,18-24
U000505,2024-01-28,Chennai,android,referral,35-44
U000506,2024-06-01,Kolkata,android,social,25-34
U000507,2024-04-21,Pune,android,organic,35-44
U000508,2024-03-29,Bangalore,ios,organic,25-34
U000509,2024-03-21,Mumbai,android,paid_google,25-34
U000510,2024-04-21,Bangalore,android,referral,18-24
U000511,2024-06-04,Hyderabad,ios,organic,18-24
U000512,2024-05-10,Bangalore,android,organic,18-24
U000513,2024-01-30,Hyderabad,android,social,18-24
U000514,2024-04-08,Hyderabad,android,organic,35-44
U000515,2024-05-27,Delhi,ios,social,45+
U000516,2024-02-18,Mumbai,ios,referral,35-44
U000517,2024-03-06,Pune,ios,email,18-24
U000518,2024-01-12,Bangalore,web,organic,18-24
U000519,2024-06-30,Mumbai,android,organic,35-44
U000520,2024-04-21,Pune,ios,paid_google,25-34
U000521,2024-01-01,Mumbai,ios,paid_google,18-24
U000522,2024-05-13,Mumbai,web,referral,18-24
U000523,2024-05-17,Mumbai,ios,referral,25-34
U000524,2024-06-24,Pune,android,organic,25-34
U000525,2024-06-20,Chennai,android,referral,18-24
U000526,2024-02-20,Bangalore,android,referral,35-44
U000527,2024-04-03,Kolkata,android,paid_google,18-24
U000528,2024-04-20,Kolkata,android,social,25-34
U000529,2024-01-18,Hyderabad,android,paid_google,18-24
U000530,2024-06-19,Pune,ios,social,25-34
U000531,2024-03-25,Hyderabad,ios,organic,35-44
U000532,2024-06-08,Hyderabad,ios,email,35-44
U000533,2024-03-21,Bangalore,ios,paid_google,25-34
